Elapsedtime,r,g,b,bpm
0:00:03.657241,0,0,0,74
0:00:03.670237,0,0,0,74
0:00:03.682444,0,0,0,74
0:00:03.695705,0,0,0,74
0:00:03.709731,0,0,0,74
0:00:03.721737,0,0,0,74
0:00:03.735735,0,0,0,74
0:00:03.748932,0,0,0,74
0:00:03.760935,0,0,0,74
0:00:03.773962,0,0,0,74
0:00:03.786926,0,0,0,74
0:00:03.799891,0,0,0,74
0:00:03.811859,0,0,0,74
0:00:03.824178,0,0,0,74
0:00:03.837616,0,0,0,74
0:00:03.850576,0,0,0,74
0:00:03.864585,0,0,0,74
0:00:03.878581,0,0,0,74
0:00:03.892656,0,0,0,74
0:00:03.907019,0,0,0,74
0:00:03.922315,0,0,0,74
0:00:03.936453,0,0,0,74
0:00:03.951555,0,0,0,74
0:00:03.966564,0,0,0,74
0:00:03.980585,0,0,0,74
0:00:03.993570,0,0,0,74
0:00:04.007561,0,0,0,74
0:00:04.020545,0,0,0,74
0:00:04.033511,0,0,0,74
0:00:04.046778,0,0,0,74
0:00:04.060341,0,0,0,74
0:00:04.073546,0,0,0,74
0:00:04.086762,0,0,0,74
0:00:04.098862,0,0,0,74
0:00:04.112827,0,0,0,74
0:00:04.125837,0,0,0,74
0:00:04.139116,0,0,0,74
0:00:04.153118,0,0,0,74
0:00:04.167124,0,0,0,74
0:00:04.180096,0,0,0,74
0:00:04.193526,0,0,0,74
0:00:04.207490,0,0,0,74
0:00:04.222450,0,0,0,74
0:00:04.236460,0,0,0,74
0:00:04.250766,1,0,0,74
0:00:04.265725,1,0,0,74
0:00:04.280713,1,0,0,74
0:00:04.294808,1,0,0,74
0:00:04.310050,1,0,0,74
0:00:04.324475,1,0,0,74
0:00:04.339480,1,0,0,74
0:00:04.353623,1,0,0,74
0:00:04.368849,1,0,0,74
0:00:04.383462,1,0,0,74
0:00:04.397425,1,0,0,74
0:00:04.411954,1,0,0,74
0:00:04.426962,1,0,0,74
0:00:04.442028,1,0,0,74
0:00:04.456163,1,0,0,74
0:00:04.469790,1,0,0,74
0:00:04.483754,1,0,0,74
0:00:04.496997,1,0,0,74
0:00:04.510998,1,0,0,74
0:00:04.524279,1,0,0,74
0:00:04.538210,1,0,0,74
0:00:04.551373,1,0,0,74
0:00:04.565493,1,0,0,74
0:00:04.579768,1,0,0,74
0:00:04.593271,1,0,0,74
0:00:04.607526,1,0,0,74
0:00:04.621566,1,0,0,74
0:00:04.634559,1,0,0,74
0:00:04.648521,1,0,0,74
0:00:04.662021,1,0,0,74
0:00:04.676359,1,0,0,74
0:00:04.690390,1,0,0,74
0:00:04.704830,1,0,0,74
0:00:04.719094,1,0,0,74
0:00:04.732825,1,0,0,74
0:00:04.746882,1,0,0,74
0:00:04.761974,1,0,0,74
0:00:04.775940,1,0,0,74
0:00:04.790071,1,0,0,74
0:00:04.805029,1,0,0,74
0:00:04.819989,1,0,0,74
0:00:04.834092,1,0,0,74
0:00:04.848056,1,0,0,74
0:00:04.859060,1,0,0,74
0:00:04.871026,1,0,0,74
0:00:04.884040,1,0,0,75
0:00:04.898238,1,0,0,75
0:00:04.912232,1,0,0,75
0:00:04.925219,1,0,0,75
0:00:04.939701,1,0,0,75
0:00:04.953185,1,0,0,75
0:00:04.967946,1,0,0,75
0:00:04.982183,1,0,0,75
0:00:04.996221,1,0,0,75
0:00:05.008235,1,0,0,75
0:00:05.020198,1,0,0,75
0:00:05.032173,1,0,0,75
0:00:05.044101,1,0,0,75
0:00:05.055870,1,0,0,75
0:00:05.069066,1,0,0,75
0:00:05.082302,1,0,0,75
0:00:05.096537,1,0,0,75
0:00:05.107504,1,0,0,75
0:00:05.132430,1,0,0,75
0:00:05.145732,1,0,0,75
0:00:05.160710,1,0,0,75
0:00:05.174654,1,0,0,75
0:00:05.189315,1,0,0,75
0:00:05.204234,1,0,0,75
0:00:05.218801,1,0,0,75
0:00:05.233757,1,0,0,75
0:00:05.248011,1,0,0,75
0:00:05.262019,1,0,0,75
0:00:05.276214,1,0,0,75
0:00:05.287141,1,0,0,75
0:00:05.299111,1,0,0,75
0:00:05.311082,1,0,0,75
0:00:05.324216,1,0,0,75
0:00:05.339525,1,0,0,75
0:00:05.353090,1,0,0,75
0:00:05.367105,1,0,0,75
0:00:05.381248,1,0,0,75
0:00:05.395215,1,0,0,75
0:00:05.406589,1,0,0,75
0:00:05.418801,1,0,0,75
0:00:05.430793,1,0,0,75
0:00:05.443079,1,0,0,75
0:00:05.456915,1,0,0,75
0:00:05.470009,1,0,0,75
0:00:05.483507,1,0,0,75
0:00:05.497229,1,0,0,75
0:00:05.511417,1,0,0,75
0:00:05.526704,1,0,0,75
0:00:05.541022,1,0,0,75
0:00:05.555112,1,0,0,76
0:00:05.569472,0,0,0,76
0:00:05.583456,0,0,0,76
0:00:05.598224,0,0,0,76
0:00:05.612272,0,0,0,76
0:00:05.626404,0,0,0,76
0:00:05.640050,0,0,0,76
0:00:05.653821,0,0,0,76
0:00:05.668024,0,0,0,76
0:00:05.681462,0,0,0,76
0:00:05.694955,0,0,0,76
0:00:05.709011,0,0,0,76
0:00:05.722571,0,0,0,76
0:00:05.736581,0,0,0,76
0:00:05.749577,0,0,0,76
0:00:05.763686,0,0,0,76
0:00:05.778808,0,0,0,76
0:00:05.793040,0,0,0,76
0:00:05.808077,0,0,0,76
0:00:05.823204,0,0,0,76
0:00:05.836378,0,0,0,76
0:00:05.849693,0,0,0,76
0:00:05.862900,0,0,0,76
0:00:05.875865,0,0,0,76
0:00:05.887835,0,0,0,76
0:00:05.900035,0,0,0,76
